side,price,size
OrderSide.BUY,127.82000000000001,6
OrderSide.BUY,127.82000000000001,3
OrderSide.BUY,127.82000000000001,3
OrderSide.BUY,127.82000000000001,3
OrderSide.BUY,127.82000000000001,3
OrderSide.BUY,127.81,2
OrderSide.BUY,127.81,1
OrderSide.BUY,127.81,3
OrderSide.BUY,127.81,2
OrderSide.BUY,127.8,3
OrderSide.BUY,127.8,2
OrderSide.BUY,127.8,5
OrderSide.BUY,127.79,2
OrderSide.BUY,127.79,4
OrderSide.BUY,127.78,1
OrderSide.BUY,127.78,1
OrderSide.BUY,127.78,2
OrderSide.BUY,127.77,2
OrderSide.BUY,127.77,1
OrderSide.BUY,127.77,2
OrderSide.BUY,127.74000000000001,2
OrderSide.BUY,127.74000000000001,7
OrderSide.BUY,127.74000000000001,3
OrderSide.BUY,127.73,5
OrderSide.BUY,127.73,2
OrderSide.BUY,127.73,2
OrderSide.BUY,127.7,6
OrderSide.BUY,127.64,2
OrderSide.BUY,127.60000000000001,2
OrderSide.BUY,127.58,5
OrderSide.BUY,127.57000000000001,3
OrderSide.BUY,127.56,2
OrderSide.BUY,127.56,2
OrderSide.BUY,127.56,2
OrderSide.BUY,127.56,3
OrderSide.BUY,127.55,2
OrderSide.BUY,127.55,1
OrderSide.BUY,127.55,12
OrderSide.BUY,127.55,4
OrderSide.BUY,127.55,2
OrderSide.BUY,127.55,1
OrderSide.BUY,127.55,1
OrderSide.BUY,127.55,5
OrderSide.BUY,127.54,3
OrderSide.BUY,127.53,2
OrderSide.BUY,127.53,6
OrderSide.BUY,127.53,3
OrderSide.BUY,127.52,4
OrderSide.BUY,127.5,3
OrderSide.BUY,127.37,7
OrderSide.BUY,127.22,3
OrderSide.BUY,127.21000000000001,1
OrderSide.BUY,127.21000000000001,4
OrderSide.BUY,127.21000000000001,3
OrderSide.BUY,127.21000000000001,1
OrderSide.BUY,127.2,2
OrderSide.BUY,127.2,3
OrderSide.BUY,127.19,2
OrderSide.BUY,127.19,4
OrderSide.BUY,127.18,1
OrderSide.BUY,127.18,6
OrderSide.BUY,127.16,3
OrderSide.BUY,127.16,3
OrderSide.BUY,127.16,6
OrderSide.BUY,127.04,1
OrderSide.BUY,125.78,3
OrderSide.BUY,125.76,3
OrderSide.BUY,125.76,2
OrderSide.BUY,125.75,1
OrderSide.BUY,125.75,2
OrderSide.BUY,125.74000000000001,4
OrderSide.BUY,125.58,1
OrderSide.BUY,125.58,1
OrderSide.BUY,125.55,5
OrderSide.BUY,125.48,3
OrderSide.BUY,125.47,7
OrderSide.BUY,125.47,1
OrderSide.BUY,125.43,3
OrderSide.BUY,125.43,1
OrderSide.BUY,125.43,3
OrderSide.BUY,125.43,4
OrderSide.BUY,125.42,2
OrderSide.BUY,125.42,1
OrderSide.BUY,125.42,1
OrderSide.BUY,125.42,3
OrderSide.BUY,125.42,1
OrderSide.BUY,125.42,5
OrderSide.BUY,125.42,1
OrderSide.BUY,125.39,3
OrderSide.BUY,125.36,1
OrderSide.BUY,125.14,4
OrderSide.BUY,125.08,2
OrderSide.BUY,125.08,1
OrderSide.BUY,125.07000000000001,2
OrderSide.BUY,125.06,2
OrderSide.BUY,125.05,2
OrderSide.BUY,125.04,1
OrderSide.BUY,125.03,1
OrderSide.BUY,125.03,2
OrderSide.BUY,125.03,1
OrderSide.BUY,125.02,5
OrderSide.BUY,125.0,3
OrderSide.BUY,124.98,1
OrderSide.BUY,124.97,3
OrderSide.BUY,124.96000000000001,3
OrderSide.BUY,124.96000000000001,1
OrderSide.BUY,124.96000000000001,2
OrderSide.BUY,124.95,3
OrderSide.BUY,124.95,2
OrderSide.BUY,124.93,4
OrderSide.BUY,124.92,2
OrderSide.BUY,124.91,3
OrderSide.BUY,124.91,1
OrderSide.BUY,124.9,3
OrderSide.BUY,124.9,3
OrderSide.BUY,124.9,5
OrderSide.BUY,124.89,1
OrderSide.BUY,124.89,3
OrderSide.BUY,124.88000000000001,4
OrderSide.BUY,124.88000000000001,7
OrderSide.BUY,124.86,1
OrderSide.BUY,124.82000000000001,2
OrderSide.BUY,124.82000000000001,1
OrderSide.BUY,124.81,2
OrderSide.BUY,124.81,3
OrderSide.BUY,124.81,5
OrderSide.BUY,124.79,1
OrderSide.BUY,124.7,3
OrderSide.BUY,124.69,2
OrderSide.BUY,124.66,3
OrderSide.BUY,124.63000000000001,2
OrderSide.BUY,124.63000000000001,1
OrderSide.BUY,124.60000000000001,2
OrderSide.BUY,124.59,1
OrderSide.BUY,124.57000000000001,1
OrderSide.BUY,124.56,3
OrderSide.BUY,124.55,4
OrderSide.BUY,124.55,2
OrderSide.BUY,124.51,1
OrderSide.BUY,124.51,1
OrderSide.BUY,124.51,1
OrderSide.BUY,124.51,2
OrderSide.BUY,124.51,2
OrderSide.BUY,124.5,1
OrderSide.BUY,124.48,3
OrderSide.BUY,124.47,3
OrderSide.BUY,124.47,3
OrderSide.BUY,124.47,1
OrderSide.BUY,124.46000000000001,4
OrderSide.BUY,124.46000000000001,2
OrderSide.BUY,124.46000000000001,5
OrderSide.BUY,124.45,1
OrderSide.BUY,124.39,1
OrderSide.BUY,124.39,5
OrderSide.BUY,124.3,1
OrderSide.BUY,124.3,2
OrderSide.BUY,124.29,2
OrderSide.BUY,124.27,2
OrderSide.BUY,124.26,1
OrderSide.BUY,124.26,1
OrderSide.BUY,124.24000000000001,3
OrderSide.BUY,124.22,1
OrderSide.BUY,124.22,2
OrderSide.BUY,124.21000000000001,2
OrderSide.BUY,124.21000000000001,3
OrderSide.BUY,124.2,2
OrderSide.BUY,124.2,3
OrderSide.BUY,124.18,1
OrderSide.BUY,124.17,1
OrderSide.BUY,124.16,1
OrderSide.BUY,124.16,4
OrderSide.BUY,124.15,1
OrderSide.BUY,124.14,2
OrderSide.BUY,124.09,3
OrderSide.BUY,124.08,1
OrderSide.BUY,124.08,1
OrderSide.BUY,124.07000000000001,1
OrderSide.BUY,124.06,5
OrderSide.BUY,124.06,2
OrderSide.BUY,124.05,1
OrderSide.BUY,124.04,3
OrderSide.BUY,124.03,2
OrderSide.BUY,124.03,2
OrderSide.BUY,124.03,2
OrderSide.BUY,124.03,4
OrderSide.BUY,124.03,5
OrderSide.BUY,124.01,4
OrderSide.BUY,124.01,3
OrderSide.BUY,124.0,1
OrderSide.BUY,123.99000000000001,1
OrderSide.BUY,123.98,2
OrderSide.BUY,123.96000000000001,1
OrderSide.BUY,123.96000000000001,6
OrderSide.BUY,123.95,2
OrderSide.BUY,123.92,1
OrderSide.BUY,123.91,1
OrderSide.BUY,123.91,9
OrderSide.BUY,123.91,1
OrderSide.BUY,123.9,2
OrderSide.BUY,123.9,1
OrderSide.BUY,123.89,2
OrderSide.BUY,123.89,2
OrderSide.BUY,123.88000000000001,9
OrderSide.BUY,123.86,1
OrderSide.BUY,123.86,6
OrderSide.BUY,123.86,1
OrderSide.BUY,123.86,1
OrderSide.BUY,123.86,1
OrderSide.BUY,123.85000000000001,1
OrderSide.BUY,123.83,7
OrderSide.BUY,123.83,1
OrderSide.BUY,123.82000000000001,2
OrderSide.BUY,123.82000000000001,2
OrderSide.BUY,123.82000000000001,2
OrderSide.BUY,123.82000000000001,2
OrderSide.BUY,123.82000000000001,2
OrderSide.BUY,123.81,1
OrderSide.BUY,123.81,2
OrderSide.BUY,123.81,2
OrderSide.BUY,123.81,3
OrderSide.BUY,123.81,5
OrderSide.BUY,123.8,8
OrderSide.BUY,123.79,1
OrderSide.BUY,123.78,1
OrderSide.BUY,123.78,3
OrderSide.BUY,123.78,1
OrderSide.BUY,123.77,2
OrderSide.BUY,123.77,3
OrderSide.BUY,123.77,6
OrderSide.BUY,123.76,2
OrderSide.BUY,123.76,5
OrderSide.BUY,123.75,1
OrderSide.BUY,123.74000000000001,2
OrderSide.BUY,123.74000000000001,1
OrderSide.BUY,123.73,1
OrderSide.BUY,123.73,1
OrderSide.BUY,123.72,6
OrderSide.BUY,123.71000000000001,1
OrderSide.BUY,123.71000000000001,4
OrderSide.BUY,123.65,3
OrderSide.BUY,123.64,1
OrderSide.BUY,123.64,4
OrderSide.BUY,123.62,2
OrderSide.BUY,123.61,5
OrderSide.BUY,123.24000000000001,5
OrderSide.BUY,122.91,4
OrderSide.BUY,122.91,3
OrderSide.BUY,122.9,2
OrderSide.BUY,122.9,1
OrderSide.BUY,122.89,2
OrderSide.BUY,122.89,1
OrderSide.BUY,122.88,3
OrderSide.BUY,122.88,2
OrderSide.BUY,122.88,2
OrderSide.BUY,122.88,3
OrderSide.BUY,122.87,3
OrderSide.BUY,122.87,4
OrderSide.BUY,122.86,2
OrderSide.BUY,122.85000000000001,6
OrderSide.BUY,122.82000000000001,1
OrderSide.BUY,122.81,2
OrderSide.BUY,122.77,2
OrderSide.BUY,122.77,3
OrderSide.BUY,122.77,3
OrderSide.BUY,122.71000000000001,5
OrderSide.BUY,122.69,1
OrderSide.BUY,122.68,4
OrderSide.BUY,122.67,1
OrderSide.BUY,122.67,2
OrderSide.BUY,122.67,1
OrderSide.BUY,122.64,2
OrderSide.BUY,122.62,2
OrderSide.BUY,122.60000000000001,2
OrderSide.BUY,122.56,2
OrderSide.BUY,122.52,3
OrderSide.BUY,122.52,1
OrderSide.BUY,122.51,2
OrderSide.BUY,122.5,1
OrderSide.BUY,122.49000000000001,2
OrderSide.BUY,122.47,1
OrderSide.BUY,122.45,1
OrderSide.BUY,122.44,2
OrderSide.BUY,122.43,1
OrderSide.BUY,122.43,2
OrderSide.BUY,122.42,2
OrderSide.BUY,122.41,1
OrderSide.BUY,122.34,5
OrderSide.BUY,122.31,9
OrderSide.BUY,122.31,2
OrderSide.BUY,122.31,3
OrderSide.BUY,122.31,3
OrderSide.BUY,122.31,3
OrderSide.BUY,122.3,2
OrderSide.BUY,122.3,1
OrderSide.BUY,122.28,3
OrderSide.BUY,122.27,2
OrderSide.BUY,122.22,2
OrderSide.BUY,122.19,2
OrderSide.BUY,122.19,3
OrderSide.BUY,122.17,1
OrderSide.BUY,122.17,2
OrderSide.BUY,122.17,1
OrderSide.BUY,122.17,2
OrderSide.BUY,122.17,2
OrderSide.BUY,122.15,1
OrderSide.BUY,122.14,1
OrderSide.BUY,122.14,3
OrderSide.BUY,122.14,3
OrderSide.BUY,122.14,2
OrderSide.BUY,122.14,4
OrderSide.BUY,122.13,1
OrderSide.BUY,122.13,2
OrderSide.BUY,122.13,2
OrderSide.BUY,122.13,2
OrderSide.BUY,122.12,3
OrderSide.BUY,122.11,1
OrderSide.BUY,122.11,3
OrderSide.BUY,122.11,3
OrderSide.BUY,122.11,5
OrderSide.BUY,122.11,2
OrderSide.BUY,122.10000000000001,4
OrderSide.BUY,122.10000000000001,3
OrderSide.BUY,122.06,1
OrderSide.BUY,122.06,1
OrderSide.BUY,122.03,5
OrderSide.BUY,122.02,4
OrderSide.BUY,122.02,3
OrderSide.BUY,122.02,2
OrderSide.BUY,122.01,1
OrderSide.BUY,122.0,2
OrderSide.BUY,122.0,1
OrderSide.BUY,121.98,1
OrderSide.BUY,121.98,1
OrderSide.BUY,121.96000000000001,4
OrderSide.BUY,121.94,1
OrderSide.BUY,121.94,2
OrderSide.BUY,121.91,1
OrderSide.BUY,121.88,1
OrderSide.BUY,121.88,6
OrderSide.BUY,121.86,1
